,id,title,release_year,country,duration,language,certification,gross,budget
235,236,Halloween,1978,USA,101,English,R,47000000.0,300000
236,237,Halloween,1978,USA,101,English,R,47000000.0,300000
237,238,Halloween,1978,USA,101,English,R,47000000.0,300000
238,239,Jaws 2,1978,USA,131,English,PG,102922376.0,20000000
239,240,Superman,1978,USA,188,English,PG,134218018.0,55000000
243,244,The Wiz,1978,USA,118,English,G,13000000.0,24000000
245,246,Alien,1979,UK,116,English,R,78900000.0,11000000
247,248,Apocalypse Now,1979,USA,289,English,R,78800000.0,31500000
248,249,Escape from Alcatraz,1979,USA,112,English,PG,36500000.0,8000000
251,252,Moonraker,1979,UK,126,English,PG,62700000.0,34000000
254,255,Star Trek: The Motion Picture,1979,USA,143,English,PG,82300000.0,35000000
259,260,The Rose,1979,USA,125,English,R,29200000.0,8500000
260,261,Airplane!,1980,USA,88,English,PG,83400000.0,3500000
261,262,Caddyshack,1980,USA,98,English,R,39800000.0,6000000
262,263,Can't Stop the Music,1980,USA,124,English,PG,2000000.0,20000000
264,265,Dressed to Kill,1980,USA,104,English,X,31899000.0,6500000
267,268,Heaven's Gate,1980,USA,325,English,R,1500000.0,44000000
269,270,Ordinary People,1980,USA,124,English,R,54800000.0,6000000
271,272,Private Benjamin,1980,USA,109,English,R,69800000.0,10000000
272,273,Raging Bull,1980,USA,121,English,R,45250.0,18000000
273,274,Raise the Titanic,1980,UK,119,English,PG,7000000.0,36000000
275,276,Star Wars: Episode V - The Empire Strikes Back,1980,USA,127,English,PG,290158751.0,18000000
276,277,Superman II,1980,USA,116,English,PG,108200000.0,54000000
278,279,The Blues Brothers,1980,USA,148,English,R,54200000.0,27000000
280,281,The Fog,1980,USA,89,English,R,21378000.0,1000000
281,282,The Fog,1980,USA,89,English,R,21378000.0,1000000
285,286,Chariots of Fire,1981,UK,125,English,PG,58800000.0,5500000
286,287,Das Boot,1981,West Germany,293,German,R,11433134.0,14000000
287,288,Dragonslayer,1981,USA,108,English,PG,6000000.0,18000000
288,289,Escape from New York,1981,UK,106,English,R,25244700.0,6000000
289,290,For Your Eyes Only,1981,UK,127,English,PG,62300000.0,28000000
290,291,Friday the 13th Part 2,1981,USA,87,English,R,19100000.0,1250000
297,298,Mad Max 2: The Road Warrior,1981,Australia,87,English,R,9003011.0,2000000
301,302,Porky's,1981,Canada,94,English,R,105500000.0,4000000
303,304,Raiders of the Lost Ark,1981,USA,115,English,PG,242374454.0,18000000
305,306,Roar,1981,USA,102,English,PG,2000000.0,17000000
306,307,Sphinx,1981,USA,118,English,PG,800000.0,14000000
307,308,Stripes,1981,USA,117,English,R,85300000.0,10000000
308,309,The Beyond,1981,Italy,82,Italian,X,126387.0,400000
311,312,The Howling,1981,USA,91,English,R,17986000.0,1000000
312,313,The Legend of the Lone Ranger,1981,USA,98,English,PG,8000000.0,18000000
315,316,Time Bandits,1981,UK,103,English,PG,42365600.0,5000000
316,317,Under the Rainbow,1981,USA,98,English,PG,8500000.0,20000000
317,318,Blade Runner,1982,USA,117,English,R,27000000.0,28000000
322,323,Conan the Barbarian,1982,USA,129,English,R,37567440.0,20000000
323,324,Conan the Barbarian,1982,USA,129,English,R,37567440.0,20000000
326,327,Diner,1982,USA,110,English,R,14100000.0,5000000
327,328,E.T. the Extra-Terrestrial,1982,USA,120,English,PG,434949459.0,10500000
329,330,Firefox,1982,USA,136,English,PG,46700000.0,21000000
332,333,Friday the 13th Part III,1982,USA,91,English,R,36200000.0,4000000
334,335,Halloween III: Season of the Witch,1982,USA,98,English,R,14400000.0,2500000
336,337,Megaforce,1982,USA,99,English,PG,5333658.0,20000000
337,338,Poltergeist,1982,USA,120,English,PG,76600000.0,10700000
338,339,Poltergeist,1982,USA,120,English,PG,76600000.0,10700000
339,340,Star Trek II: The Wrath of Khan,1982,USA,116,English,PG,78900000.0,11000000
342,343,The Best Little Whorehouse in Texas,1982,USA,114,English,R,69700000.0,35000000
344,345,The Thing,1982,USA,109,English,R,13782838.0,15000000
345,346,The Verdict,1982,USA,129,English,R,54000000.0,16000000
346,347,Tootsie,1982,USA,116,English,PG,177200000.0,22000000
348,349,Flashdance,1983,USA,95,English,R,94900000.0,4000000
351,352,Lone Wolf McQuade,1983,USA,107,English,PG,12200000.0,5000000
354,355,National Lampoon's Vacation,1983,USA,98,English,R,61400000.0,15000000
355,356,Never Say Never Again,1983,UK,121,English,PG,55500000.0,36000000
356,357,Octopussy,1983,UK,131,English,PG,67900000.0,27500000
357,358,Scarface,1983,USA,142,English,R,44700000.0,25000000
358,359,Star Wars: Episode VI - Return of the Jedi,1983,USA,134,English,PG,309125409.0,32500000
359,360,Superman III,1983,UK,125,English,PG,60000000.0,39000000
361,362,The Outsiders,1983,USA,114,English,PG-13,25600000.0,10000000
362,363,The Right Stuff,1983,USA,193,English,PG,21500000.0,27000000
365,366,Twilight Zone: The Movie,1983,USA,101,English,PG,29500000.0,10000000
367,368,WarGames,1983,USA,114,English,PG,79568000.0,12000000
368,369,Yentl,1983,UK,132,English,PG,30400000.0,12000000
369,370,A Nightmare on Elm Street,1984,USA,101,English,X,26505000.0,1800000
370,371,A Nightmare on Elm Street,1984,USA,101,English,X,26505000.0,1800000
371,372,A Passage to India,1984,UK,164,English,PG,26400000.0,16000000
372,373,Amadeus,1984,USA,180,English,R,51600000.0,18000000
373,374,Beverly Hills Cop,1984,USA,105,English,R,234760500.0,14000000
376,377,Conan the Destroyer,1984,USA,103,English,PG,26400000.0,18000000
377,378,Dune,1984,USA,177,English,PG-13,27400000.0,40000000
378,379,Firestarter,1984,USA,114,English,R,15100000.0,15000000
379,380,Footloose,1984,USA,107,English,PG,80000000.0,8200000
380,381,Footloose,1984,USA,107,English,PG,80000000.0,8200000
381,382,Friday the 13th: The Final Chapter,1984,USA,97,English,R,32600000.0,1800000
382,383,Gremlins,1984,USA,106,English,PG,148170000.0,11000000
383,384,Indiana Jones and the Temple of Doom,1984,USA,118,English,PG,179870271.0,28000000
384,385,Once Upon a Time in America,1984,Italy,251,English,R,5300000.0,30000000
385,386,Police Academy,1984,USA,96,English,R,81200000.0,4500000
389,390,Splash,1984,USA,111,English,PG,69800000.0,8000000
390,391,Star Trek III: The Search for Spock,1984,USA,105,English,PG,76400000.0,17000000
391,392,The Bounty,1984,UK,132,English,PG,8600000.0,25000000
392,393,The Cotton Club,1984,USA,123,English,R,25900000.0,58000000
393,394,The Hotel New Hampshire,1984,UK,109,English,R,5100000.0,7500000
395,396,The Karate Kid,1984,USA,126,English,PG,90800000.0,8000000
396,397,The Karate Kid,1984,USA,126,English,PG,90800000.0,8000000
398,399,The Terminator,1984,UK,107,English,R,38400000.0,6500000
400,401,A Nightmare on Elm Street 2: Freddy's Revenge,1985,USA,87,English,R,30000000.0,2200000
401,402,A Room with a View,1985,UK,117,English,Unrated,20966644.0,3000000
402,403,A View to a Kill,1985,UK,131,English,PG,50300000.0,30000000
403,404,Back to the Future,1985,USA,116,English,PG,210609762.0,19000000
404,405,Brazil,1985,UK,142,English,R,9929000.0,15000000
409,410,Friday the 13th: A New Beginning,1985,USA,92,English,R,21300000.0,2200000
414,415,Mad Max Beyond Thunderdome,1985,Australia,107,English,PG-13,36200000.0,12305523
416,417,Out of Africa,1985,USA,161,English,PG,87100000.0,31000000
417,418,Pale Rider,1985,USA,115,English,R,41400000.0,6900000
418,419,Rambo: First Blood Part II,1985,USA,96,English,R,150415432.0,44000000
421,422,Silverado,1985,USA,133,English,PG-13,33200000.0,26000000
423,424,The Color Purple,1985,USA,154,English,PG-13,94175854.0,15000000
424,425,The Last Dragon,1985,USA,109,English,PG-13,33000000.0,10000000
427,428,Witness,1985,USA,112,English,R,65500000.0,12000000
428,429,Young Sherlock Holmes,1985,USA,109,English,PG-13,4250320.0,18000000
429,430,9Â½ Weeks,1986,USA,112,English,R,6734844.0,17000000
430,431,Aliens,1986,USA,154,English,R,85200000.0,18500000
431,432,April Fool's Day,1986,USA,89,English,R,12947763.0,5000000
432,433,Big Trouble in Little China,1986,USA,99,English,PG-13,11100000.0,25000000
433,434,Crocodile Dundee,1986,Australia,93,English,PG-13,174635000.0,8800000
434,435,Highlander,1986,UK,110,English,R,5900000.0,16000000
435,436,Howard the Duck,1986,USA,110,English,PG,16295774.0,35000000
436,437,Invaders from Mars,1986,USA,100,English,PG,4884663.0,12000000
437,438,Jason Lives: Friday the 13th Part VI,1986,USA,86,English,R,19472057.0,3000000
438,439,Legal Eagles,1986,USA,116,English,PG,49851591.0,40000000
439,440,Little Shop of Horrors,1986,USA,102,English,PG-13,38747385.0,25000000
440,441,Peggy Sue Got Married,1986,USA,103,English,PG-13,41382841.0,18000000
441,442,Platoon,1986,UK,120,English,R,137963328.0,6000000
442,443,River's Edge,1986,USA,99,English,R,4600000.0,1900000
444,445,Shanghai Surprise,1986,UK,97,English,PG-13,2315683.0,17000000
445,446,She's Gotta Have It,1986,USA,88,English,R,7137502.0,175000
446,447,Stand by Me,1986,USA,89,English,R,52287414.0,8000000
447,448,Star Trek IV: The Voyage Home,1986,USA,119,English,PG,109713132.0,25000000
448,449,The Clan of the Cave Bear,1986,USA,98,English,R,1953732.0,15000000
449,450,The Color of Money,1986,USA,119,English,R,52293982.0,13800000
450,451,The Golden Child,1986,USA,94,English,PG-13,79817937.0,25000000
451,452,The Texas Chainsaw Massacre 2,1986,USA,101,English,X,8025872.0,4700000
452,453,The Wraith,1986,USA,93,English,R,3500000.0,2700000
453,454,Top Gun,1986,USA,110,English,PG,176781728.0,15000000
454,455,Witchboard,1986,UK,98,English,R,7369373.0,2000000
455,456,3 Men and a Baby,1987,USA,102,English,PG,167780960.0,11000000
456,457,A Nightmare on Elm Street 3: Dream Warriors,1987,USA,88,English,X,44793200.0,4500000
457,458,American Ninja 2: The Confrontation,1987,USA,90,English,R,4000000.0,350000
458,459,Beverly Hills Cop II,1987,USA,100,English,R,153665036.0,28000000
459,460,Creepshow 2,1987,USA,85,English,R,14000000.0,3500000
460,461,Cry Freedom,1987,UK,147,English,PG,5899797.0,29000000
461,462,Evil Dead II,1987,USA,37,English,X,5923044.0,3600000
462,463,Fatal Attraction,1987,USA,119,English,R,156645693.0,14000000
463,464,From a Whisper to a Scream,1987,USA,92,English,R,1400000.0,1100000
464,465,"Good Morning, Vietnam",1987,USA,121,English,R,123922370.0,13000000
465,466,Hellraiser,1987,UK,86,English,R,14564027.0,1000000
466,467,Hollywood Shuffle,1987,USA,81,English,R,5228617.0,100000
467,468,Ishtar,1987,USA,107,English,PG-13,14375181.0,51000000
468,469,Jaws: The Revenge,1987,USA,92,English,PG-13,20763013.0,23000000
469,470,La Bamba,1987,USA,108,English,PG-13,54215416.0,6500000
470,471,Malone,1987,USA,92,English,R,3060858.0,10000000
471,472,Maurice,1987,UK,140,English,R,3130592.0,2600000
472,473,Predator,1987,USA,107,English,R,59735548.0,15000000
473,474,Prison,1987,USA,102,English,R,354704.0,1300000
474,475,Radio Days,1987,USA,88,English,PG,14792779.0,16000000
475,476,Spaceballs,1987,USA,96,English,PG,38119483.0,22700000
476,477,Superman IV: The Quest for Peace,1987,UK,134,English,PG,15681020.0,17000000
477,478,Teen Wolf Too,1987,USA,95,English,PG,7888703.0,3000000
478,479,The Barbarians,1987,USA,87,English,R,800000.0,4000000
480,481,The Last Emperor,1987,China,219,English,PG-13,43984230.0,23000000
481,482,The Living Daylights,1987,UK,130,English,PG,51185897.0,30000000
483,484,The Princess Bride,1987,USA,98,English,PG,30857814.0,16000000
484,485,The Running Man,1987,USA,101,English,R,38122105.0,27000000
485,486,The Untouchables,1987,USA,119,English,R,76270454.0,25000000
486,487,Wall Street,1987,USA,126,English,R,43848100.0,15000000
487,488,A Nightmare on Elm Street 4: The Dream Master,1988,USA,99,English,R,49369900.0,7000000
488,489,Action Jackson,1988,USA,96,English,R,20257000.0,7000000
489,490,Akira,1988,Japan,124,Japanese,R,439162.0,1100000000
490,491,Beetlejuice,1988,USA,92,English,PG,73326666.0,15000000
491,492,Big,1988,USA,130,English,PG,114968774.0,18000000
492,493,Bloodsport,1988,USA,92,English,R,11806119.0,1100000
493,494,"Bright Lights, Big City",1988,USA,107,English,R,16118077.0,25000000
494,495,Child's Play,1988,USA,87,English,R,33244684.0,9000000
495,496,Crocodile Dundee II,1988,Australia,108,English,PG,109306210.0,15800000
496,497,Dangerous Liaisons,1988,USA,119,English,R,34700000.0,14000000
497,498,Dangerous Liaisons,1988,USA,119,English,R,34700000.0,14000000
498,499,Die Hard,1988,USA,131,English,R,81350242.0,28000000
499,500,Friday the 13th Part VII: The New Blood,1988,USA,88,English,R,19170001.0,2800000
500,501,Halloween 4: The Return of Michael Myers,1988,USA,88,English,R,17768000.0,5000000
502,503,Lady in White,1988,USA,118,English,R,1705139.0,4700000
503,504,Midnight Run,1988,USA,126,English,R,38413606.0,30000000
504,505,My Stepmother Is an Alien,1988,USA,105,English,PG-13,13854000.0,20000000
505,506,Mystic Pizza,1988,USA,104,English,R,12793213.0,6000000
506,507,Phantasm II,1988,USA,97,English,R,7282851.0,3000000
507,508,Poltergeist III,1988,USA,98,English,PG-13,14114488.0,10500000
508,509,Rain Man,1988,USA,133,English,R,172825435.0,25000000
509,510,Rambo III,1988,USA,87,English,R,53715611.0,63000000
510,511,School Daze,1988,USA,121,English,R,14545844.0,6500000
511,512,Scrooged,1988,USA,101,English,PG-13,60328558.0,32000000
512,513,Talk Radio,1988,USA,110,English,R,3468572.0,4000000
513,514,The Land Before Time,1988,USA,69,English,G,48092846.0,12500000
514,515,The Last Temptation of Christ,1988,USA,164,English,R,8373585.0,7000000
515,516,They Live,1988,USA,93,English,R,13008928.0,4000000
516,517,Twins,1988,USA,107,English,PG,111936400.0,15000000
517,518,Young Guns,1988,USA,107,English,R,44726644.0,13000000
518,519,A Nightmare on Elm Street 5: The Dream Child,1989,USA,89,English,X,22168359.0,8000000
519,520,Back to the Future Part II,1989,USA,108,English,PG,118500000.0,40000000
520,521,Batman,1989,USA,126,English,PG-13,251188924.0,35000000
521,522,Bill & Ted's Excellent Adventure,1989,USA,90,English,PG,40485039.0,10000000
522,523,Black Rain,1989,USA,125,English,R,45645204.0,30000000
523,524,Born on the Fourth of July,1989,USA,145,English,R,70001698.0,14000000
524,525,Dead Poets Society,1989,USA,128,English,PG,95860116.0,16400000
525,526,Do the Right Thing,1989,USA,120,English,R,27545445.0,6500000
526,527,Driving Miss Daisy,1989,USA,99,English,PG,106593296.0,7500000
527,528,Friday the 13th Part VIII: Jason Takes Manhattan,1989,USA,100,English,R,14343976.0,5000000
528,529,Glory,1989,USA,122,English,R,26830000.0,18000000
529,530,Glory,1989,USA,122,English,R,26830000.0,18000000
530,531,Halloween 5,1989,USA,96,English,X,11642254.0,3000000
531,532,Henry V,1989,UK,137,English,PG-13,10161099.0,9000000
532,533,Indiana Jones and the Last Crusade,1989,USA,127,English,PG-13,197171806.0,48000000
533,534,Licence to Kill,1989,UK,133,English,PG-13,34667015.0,32000000
534,535,Major League,1989,USA,107,English,R,49797148.0,11000000
535,536,New York Stories,1989,USA,124,English,PG,10763469.0,15000000
536,537,Pet Sematary,1989,USA,103,English,R,57469179.0,11500000
537,538,Road House,1989,USA,114,English,R,30050028.0,17000000
538,539,Roger & Me,1989,USA,91,English,R,6706368.0,160000
539,540,Sea of Love,1989,USA,113,English,R,58571513.0,19000000
540,541,"Sex, Lies, and Videotape",1989,USA,100,English,R,24741700.0,1200000
541,542,Star Trek V: The Final Frontier,1989,USA,107,English,PG,55210049.0,27800000
542,543,Tango & Cash,1989,USA,97,English,R,63408614.0,55000000
543,544,The Abyss,1989,USA,171,English,PG-13,54222000.0,69500000
544,545,The Blood of Heroes,1989,Australia,90,English,R,882290.0,10000000
545,546,The Toxic Avenger Part II,1989,USA,96,English,R,792966.0,2300000
546,547,Troop Beverly Hills,1989,USA,105,English,PG,8508843.0,18000000
547,548,UHF,1989,USA,150,English,PG-13,6157157.0,5000000
548,549,Warlock,1989,USA,103,English,R,9094451.0,7000000
549,550,We're No Angels,1989,USA,106,English,PG-13,10555348.0,20000000
550,551,When Harry Met Sally...,1989,USA,89,English,R,92823600.0,16000000
551,552,Arachnophobia,1990,USA,103,English,PG-13,53133888.0,31000000
552,553,Back to the Future Part III,1990,USA,118,English,PG,87666629.0,40000000
553,554,Child's Play 2,1990,USA,72,English,R,28501605.0,13000000
554,555,Dances with Wolves,1990,USA,236,English,PG-13,184208848.0,22000000
555,556,Days of Thunder,1990,USA,107,English,PG-13,82670733.0,60000000
556,557,Dick Tracy,1990,USA,105,English,PG,103738726.0,100000000
557,558,Die Hard 2,1990,USA,124,English,R,117541000.0,70000000
558,559,Edward Scissorhands,1990,USA,105,English,PG-13,56362352.0,20000000
559,560,Flatliners,1990,USA,115,English,R,61490000.0,26000000
560,561,Ghost,1990,USA,127,English,PG-13,217631306.0,22000000
561,562,Goodfellas,1990,USA,146,English,R,46836394.0,25000000
562,563,Gremlins 2: The New Batch,1990,USA,106,English,PG-13,41482207.0,50000000
563,564,Home Alone,1990,USA,103,English,PG,285761243.0,18000000
564,565,Kindergarten Cop,1990,USA,111,English,PG-13,91457688.0,26000000
566,567,Metropolitan,1990,USA,98,English,PG-13,2938208.0,225000
568,569,Mo' Better Blues,1990,USA,129,English,R,16153600.0,10000000
569,570,Predator 2,1990,USA,103,English,R,30669413.0,35000000
570,571,Pretty Woman,1990,USA,125,English,R,178406268.0,14000000
571,572,Quigley Down Under,1990,Australia,119,English,PG-13,21413105.0,20000000
573,574,Spaced Invaders,1990,USA,100,English,PG,15369573.0,3000000
574,575,The Adventures of Ford Fairlane,1990,USA,104,English,R,21413502.0,40000000
575,576,The Godfather: Part III,1990,USA,170,English,R,66676062.0,54000000
576,577,The Hunt for Red October,1990,USA,135,English,PG,122012643.0,30000000
577,578,Total Recall,1990,USA,113,English,R,119412921.0,65000000
578,579,Total Recall,1990,USA,113,English,R,119412921.0,65000000
579,580,Tremors,1990,USA,96,English,PG-13,16667084.0,11000000
580,581,Two Evil Eyes,1990,Italy,120,English,R,349618.0,9000000
581,582,Beastmaster 2: Through the Portal of Time,1991,USA,107,English,PG-13,869325.0,6000000
582,583,Bill & Ted's Bogus Journey,1991,USA,93,English,PG,38037513.0,20000000
583,584,Boyz n the Hood,1991,USA,112,English,R,57504069.0,6000000
584,585,Cape Fear,1991,USA,128,English,R,79100000.0,35000000
585,586,Double Impact,1991,USA,110,English,R,30102717.0,15000000
586,587,Flight of the Intruder,1991,USA,115,English,PG-13,14587732.0,35000000
587,588,Freddy's Dead: The Final Nightmare,1991,USA,93,English,R,34872293.0,8500000
588,589,Harley Davidson and the Marlboro Man,1991,USA,98,English,R,7434726.0,23000000
589,590,Hook,1991,USA,142,English,PG,119654900.0,70000000
590,591,House Party 2,1991,USA,94,English,R,19281235.0,5000000
591,592,Hudson Hawk,1991,USA,100,English,R,17218080.0,70000000
592,593,JFK,1991,France,206,English,R,70405498.0,40000000
594,595,My Girl,1991,USA,102,English,PG-13,59847242.0,16500000
595,596,My Own Private Idaho,1991,USA,104,English,R,6401336.0,2500000
596,597,Return to the Blue Lagoon,1991,USA,102,English,PG-13,2807854.0,11000000
597,598,Robin Hood: Prince of Thieves,1991,USA,155,English,PG-13,165500000.0,48000000
598,599,Showdown in Little Tokyo,1991,USA,79,English,R,2275557.0,8000000
599,600,Slacker,1991,USA,100,English,R,1227508.0,23000
600,601,Star Trek VI: The Undiscovered Country,1991,USA,110,English,PG,74888996.0,30000000
601,602,Stone Cold,1991,USA,88,English,R,9286314.0,17000000
602,603,Straight Out of Brooklyn,1991,USA,91,English,R,2712293.0,450000
603,604,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,USA,88,English,PG,78656813.0,25000000
604,605,Terminator 2: Judgment Day,1991,USA,153,English,R,204843350.0,102000000
605,606,The Addams Family,1991,USA,99,English,PG-13,113502246.0,38000000
606,607,The Doors,1991,USA,140,English,R,35183792.0,38000000
607,608,The Fisher King,1991,USA,137,English,R,41895491.0,24000000
608,609,The Naked Gun 2Â½: The Smell of Fear,1991,USA,85,English,PG-13,86930411.0,23000000
609,610,The Prince of Tides,1991,USA,132,English,R,74787599.0,30000000
610,611,The Silence of the Lambs,1991,USA,138,English,R,130727000.0,19000000
611,612,White Fang,1991,USA,107,English,PG,34793160.0,14000000
612,613,A Few Good Men,1992,USA,138,English,R,141340178.0,40000000
613,614,A League of Their Own,1992,USA,128,English,PG,107458785.0,40000000
614,615,Aladdin,1992,USA,90,English,G,217350219.0,28000000
615,616,Alien 3,1992,USA,145,English,R,55473600.0,50000000
616,617,Army of Darkness,1992,USA,88,English,R,11501093.0,13000000
617,618,Batman Returns,1992,USA,126,English,PG-13,162831698.0,80000000
618,619,Boomerang,1992,USA,117,English,R,70100000.0,40000000
619,620,Bram Stoker's Dracula,1992,USA,155,English,R,82522790.0,40000000
620,621,Death Becomes Her,1992,USA,104,English,PG-13,58422650.0,55000000
621,622,El Mariachi,1992,USA,81,Spanish,R,2040920.0,7000
622,623,Fortress,1992,Australia,95,English,R,6739141.0,8000000
623,624,Glengarry Glen Ross,1992,USA,100,English,R,10725228.0,12500000
624,625,Hoffa,1992,USA,140,English,R,24276500.0,35000000
625,626,Home Alone 2: Lost in New York,1992,USA,120,English,PG,173585516.0,18000000
627,628,Lethal Weapon 3,1992,USA,121,English,R,144731527.0,35000000
628,629,Light Sleeper,1992,USA,103,English,R,1100000.0,5000000
629,630,Malcolm X,1992,USA,202,English,PG-13,48169908.0,33000000
